"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"144","K01869","LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"145","K01869","LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"146","K03564","BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","K17338","REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","K19681","IFT52; intraflagellar transport protein 52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","K19676","IFT172; intraflagellar transport protein 172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","K05849","SLC8A, NCX; solute carrier family 8 (sodium/calcium exchanger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","K10579","UBE2M, UBC12; ubiquitin-conjugating enzyme E2 M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","K15109","SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","K02145","ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]","Structural complex","Energy metabolism","ATP synthesis","V-type ATPase, eukaryotes","Phagotrophy","V-type ATPase","V-type ATPase","ATPeV1A, ATP6A","V-type H+-transporting ATPase subunit A ",""
"154","K19882","NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","K13289","CTSA, CPY; cathepsin A (carboxypeptidase C) [EC:3.4.16.5]",NA,NA,NA,NA,"Phagotrophy","Lysosome associated","Lysosome binding and processing","CTSA, CPY","cathepsin A (carboxypeptidase C) [EC:3.4.16.5]","Labarre et al. 2019; Flannagan et al. 2012"
"156","K09186","MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","K01201","GBA, srfJ; glucosylceramidase [EC:3.2.1.45]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","K14857","SPB1, FTSJ3; AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","K01507","ppa; inorganic pyrophosphatase [EC:3.6.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","K10808","RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]","Pathway module","Nucleotide and amino acid metabolism","Pyrimidine metabolism","Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",NA,NA,NA,NA,NA,NA
"161","K08592","SENP1; sentrin-specific protease 1 [EC:3.4.22.68]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","K09140","TSR3; pre-rRNA-processing protein TSR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","K03703","uvrC; excinuclease ABC subunit C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","K11279","NAP1L1, NRP; nucleosome assembly protein 1-like 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","K06675","SMC4; structural maintenance of chromosome 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","K10444","KLHL6; kelch-like protein 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","K11804","WDR42A; WD repeat-containing protein 42A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","K01702","LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",NA,NA,NA,NA,NA,NA
"169","K00863","DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]","Pathway module","Energy metabolism","Methane metabolism","Formaldehyde assimilation, xylulose monophosphate pathway",NA,NA,NA,NA,NA,NA
"170","K09420","MYB; myb proto-oncogene protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","K06252","TN; tenascin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","K08766","CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]",NA,NA,NA,NA,"Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","CPT2","carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]",""
"173","K09510","DNAJB4; DnaJ homolog subfamily B member 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","K15595","CDK17, PCTK2; cyclin-dependent kinase 17 [EC:2.7.11.22]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","K02716","psbO; photosystem II oxygen-evolving enhancer protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","K03131","TAF6; transcription initiation factor TFIID subunit 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","K00548","metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Methionine biosynthesis, apartate => homoserine => methionine",NA,NA,NA,NA,NA,NA
"178","K01875","SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"179","K01875","SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"180","K16603","TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","K15030","EIF3M; translation initiation factor 3 subunit M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","K04739","PRKAR; cAMP-dependent protein kinase regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","K01382","CTSE; cathepsin E [EC:3.4.23.34]",NA,NA,NA,NA,"Phagotrophy","Lysosome associated","Lysosome binding and processing","CTSE","cathepsin E [EC:3.4.23.34]","Labarre et al. 2019; Flannagan et al. 2012"
"184","K13523","AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Triacylglycerol biosynthesis","Phagotrophy-other","other","Triacylglycerol biosynthesis","AGPAT3_4","lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]",""
"185","K10686","UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","K00281","GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Photorespiration",NA,NA,NA,NA,NA,NA
"187","K09391","E2F7_8; transcription factor E2F7/8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","K03671","trxA; thioredoxin 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","K01517","ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [EC:3.6.1.13 3.6.1.16 3.6.1.53]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","K04371","MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Functional set","Environmental information processing","Cell signaling","MAPK (ERK1/2) signaling",NA,NA,NA,NA,NA,NA
"191","K02726","PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Proteasome, 20S core particle",NA,NA,NA,NA,NA,NA
"192","K02726","PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Immunoproteasome",NA,NA,NA,NA,NA,NA
"193","K08798","MARK; MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","K10388","PLEC; plectin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","K03357","APC10, DOC1; anaphase-promoting complex subunit 10","Structural complex","Genetic information processing","Ubiquitin system","APC/C complex",NA,NA,NA,NA,NA,NA
"196","K10108","malE; maltose/maltodextrin transport system substrate-binding protein","Structural complex","Environmental information processing","Saccharide, polyol, and lipid transport system","Maltose/maltodextrin transport system",NA,NA,NA,NA,NA,NA
"197","K03769","ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","K00765","hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]","Pathway module","Nucleotide and amino acid metabolism","Histidine metabolism","Histidine biosynthesis, PRPP => histidine",NA,NA,NA,NA,NA,NA
"199","K08838","STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","K00791","miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","K05865","TNNC1; troponin C, slow skeletal and cardiac muscles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","K02372","fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase ",""
"203","K02372","fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase ",""
"204","K18447","NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","K17609","NXN; nucleoredoxin [EC:1.8.1.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","K13717","OTUD3; OTU domain-containing protein 3 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","K02900","RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"208","K13806","DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","K02943","RP-LP2, RPLP2; large subunit ribosomal protein LP2","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"210","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"211","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"212","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"213","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"214","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"215","K01803","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","TPI, tpiA","triosephosphate isomerase (TIM) ",""
"216","K02183","CALM; calmodulin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","K02449","CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","K13412","CPK; calcium-dependent protein kinase [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","K00831","serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]","Pathway module","Nucleotide and amino acid metabolism","Serine and threonine metabolism","Serine biosynthesis, glycerate-3P => serine",NA,NA,NA,NA,NA,NA
"220","K00831","serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",NA,NA,NA,NA,NA,NA
"221","K09580","PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","K12840","RBM17, SPF45; splicing factor 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","K01881","PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"224","K01881","PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"225","K05658","ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","K02941","RP-LP0, RPLP0; large subunit ribosomal protein LP0","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"227","K02922","RP-L37e, RPL37; large subunit ribosomal protein L37e","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"228","K02922","RP-L37e, RPL37; large subunit ribosomal protein L37e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"229","K02212","MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]","Structural complex","Genetic information processing","Replication system","MCM complex",NA,NA,NA,NA,NA,NA
"230","K17263","CAND1; cullin-associated NEDD8-dissociated protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","K03456","PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","K08915","LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","K17495","CSMD; CUB and sushi domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","K12823","DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","K02893","RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"236","K04794","PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","K01669","phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","K12811","DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","K00670","NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","K06491","NCAM, CD56; neural cell adhesion molecule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","K05869","CAMK4; calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","K03869","CUL3; cullin 3","Structural complex","Genetic information processing","Ubiquitin system","Cul3-SPOP complex",NA,NA,NA,NA,NA,NA
"243","K01933","purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]","Pathway module","Nucleotide and amino acid metabolism","Purine metabolism","Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",NA,NA,NA,NA,NA,NA
"244","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Energy metabolism","Carbon fixation","CAM (Crassulacean acid metabolism), dark","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","MDH2","malate dehydrogenase ",""
"245","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Energy metabolism","Carbon fixation","CAM (Crassulacean acid metabolism), dark","Energy Acquisition","TCA cycle","TCA cycle","MDH2","malate dehydrogenase ",""
"246","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Energy metabolism","Carbon fixation","C4-dicarboxylic acid cycle, NAD - malic enzyme type","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","MDH2","malate dehydrogenase ",""
"247","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Energy metabolism","Carbon fixation","C4-dicarboxylic acid cycle, NAD - malic enzyme type","Energy Acquisition","TCA cycle","TCA cycle","MDH2","malate dehydrogenase ",""
"248","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","MDH2","malate dehydrogenase ",""
"249","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","TCA cycle","TCA cycle","MDH2","malate dehydrogenase ",""
"250","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","MDH2","malate dehydrogenase ",""
"251","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Energy Acquisition","TCA cycle","TCA cycle","MDH2","malate dehydrogenase ",""
"252","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Glyoxylate cycle","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","MDH2","malate dehydrogenase ",""
"253","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Glyoxylate cycle","Energy Acquisition","TCA cycle","TCA cycle","MDH2","malate dehydrogenase ",""
"254","K03248","EIF3G; translation initiation factor 3 subunit G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","K02935","RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"256","K04812","CHRNB1; nicotinic acetylcholine receptor beta-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","K04468","NLK; nemo like kinase [EC:2.7.11.24]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","K12815","DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","K03259","EIF4E; translation initiation factor 4E","Structural complex","Genetic information processing","RNA processing","eIF4F complex",NA,NA,NA,NA,NA,NA
"260","K12828","SF3B1, SAP155; splicing factor 3B subunit 1","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U2-snRNP",NA,NA,NA,NA,NA,NA
"261","K08333","PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","PIK3R4, VPS15","phosphoinositide-3-kinase regulatory subunit 4","McKie-Krisberg et al. 2018"
"262","K08333","PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]",NA,NA,NA,NA,"Phagotrophy-other","other","phosphatidylinositol","PIK3R4, VPS15","phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]",""
"263","K01872","AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"264","K01872","AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"265","K06641","CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]","Functional set","Environmental information processing","Cell signaling","DNA damage-induced cell cycle checkpoints",NA,NA,NA,NA,NA,NA
"266","K12604","CNOT1, NOT1; CCR4-NOT transcription complex subunit 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
